title,genres,keywords,spoken_languages,overview,production_countries
Joyeux Noël,"Romance, Drama, History, War, Music","holiday, world war i, hostility, singer, singing, christmas","English, Français, Deutsch, Latin","In 1914, World War I, the bloodiest war ever at that time in human history, was well under way. However on Christmas Eve, numerous sections of the Western Front called an informal, and unauthorized, t","Belgium, France, Germany, Japan, Norway, Romania, United Kingdom, United States of America"
Hit & Run,"Action, Comedy, Romance","witness protection, getaway driver, duringcreditsstinger","English, Français, Polski",Former getaway driver Charlie Bronson jeopardizes his Witness Protection Plan identity in order to help his girlfriend get to Los Angeles. The feds and Charlie's former gang chase them on the road.,United States of America
Mad Money,"Action, Comedy, Crime","gang, hoodlum, woman director",English,Three female employees of the Federal Reserve plot to steal money that is about to be destroyed.,United States of America
Before I Go to Sleep,"Mystery, Thriller","amnesia, therapist, aggression, hospital, flashback",English,"A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her.","France, Sweden, United Kingdom"
Sorcerer,"Action, Thriller, Adventure","dynamite, car journey, nicaragua, criminal, bandit, explosives, latin america, rope bridge, transport, nitroglycerin, oil company, existentialism, dangerous mission","English, Français, Deutsch, Español",Four exiled international criminals on the run hide out in a remote Nicaraguan village whose economy is dependent on an oil company. An oil well 200 miles away catches fire and can be extinguished onl,United States of America
Stone,Drama,"prison, fire, manipulation, seduction, vegetarian, playground, deception, arson, parole, arsonist, convict, house fire",English,"Parole officer Jack Mabry has only a few weeks left before retirement and wishes to finish out the cases he's been assigned. One such case is that of Gerald 'Stone' Creeson, a convicted arsonist who i",United States of America
Moliere,"Romance, Drama, Comedy",playwright,"Français, Magyar","Molière, a down-and-out actor-cum-playwright up to his ears in debt. When the wealthy Jourdain offers to cover that debt (so that Molière's theatrical talents might help Jourdain win the heart of a ce",France
Out of the Furnace,"Thriller, Drama, Crime","prison, brother brother relationship, drug dealer, brother, revenge, drug use, car accident, justice, family, bare knuckle fighting, rust belt, neo-noir, manslaughter, social decay, ptsd",English,"Two brothers live in the economically-depressed Rust Belt, when a cruel twist of fate lands one in prison. His brother is then lured into one of the most violent crime rings in the Northeast.",United States of America
Michael Clayton,"Drama, Mystery, Crime","killing, restaurant, chambers of a barrister, scandal, pretended suicide, lawsuit, car bomb, business ethics, crooked lawyer",English,A law firm brings in its 'fixer' to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.,United States of America
My Fellow Americans,"Comedy, Drama","white house, usa president, national security agency (nsa), danger, sable, writ",English,"They used to run the country. Now they're running for their lives! Two on-the-lam former Presidents of the United States. Framed in a scandal by the current President and pursued by armed agents, the ",United States of America
Arlington Road,"Drama, Thriller, Mystery","bomb, terrorist, fbi, professor, paranoia, college, wife, politics, army, murder, suspense, neighbor, agent, blueprint, classified, neo-noir",English,Threats from sinister foreign nationals aren't the only thing to fear. Bedraggled college professor Michael Faraday has been vexed (and increasingly paranoid) since his wife's accidental death in a bo,United States of America
Underdogs,"Animation, Adventure, Romance",soccer,"Español, English","In the small village where Amadeo lives there is no one good enough to challenge his skills at Table Football. But, while Amadeo may be a genius as a table football player in real life he's a loser. H","Argentina, Spain"
To Rome with Love,"Romance, Comedy","rome, expatriate, episodic","Italiano, English","Four tales unfold in the Eternal City: While vacationing in Rome, architect John encounters a young man whose romantic woes remind him of a painful incident from his own youth; retired opera director ","Italy, Spain, United States of America"
Firefox,"Science Fiction, Action, Adventure, Thriller","flying, pilot, kampfjet, false identity, assault, suspense","Pусский, English","The Soviets have developed a revolutionary new jet fighter, called ""Firefox"". Naturally, the British are worried that the jet will be used as a first-strike weapon, as rumours say that the jet is inde",United States of America
"South Park: Bigger, Longer & Uncut","Animation, Comedy, Music","gay, mount rushmore national memorial, swear word, mephisto, hell, world supremacy, elementary school, saddam hussein, blood splatter, atheist, sequel, surrealism, friends who hate each other, satan, based on tv series, cartoon sex, child swearing, visions of hell, u.s. canada war, shot to death, adult animation, south park colorado",English,"When the four boys see an R-rated movie featuring Canadians Terrance and Philip, they are pronounced ""corrupted"", and their parents pressure the United States to wage war against Canada.",United States of America
Death at a Funeral,"Comedy, Drama","brother brother relationship, farewell, father son relationship, age difference, parents kids relationship, secret, sadness, coffin, funeral, gathering, surprise, lsd, studies, hallucinogen, drug trip, arrogance, female corpse",English,Chaos ensues when a man tries to expose a dark secret regarding a recently deceased patriarch of a dysfunctional British family.,United Kingdom
Teenage Mutant Ninja Turtles III,"Action, Adventure, Comedy, Family, Fantasy, Science Fiction","japan, time travel, ninja",English,"The four turtles travel back in time to the days of the legendary and deadly samurai in ancient Japan, where they train to perfect the art of becoming one. The turtles also assist a small village in a","Hong Kong, United States of America"
Hardball,"Comedy, Romance",gay,English,"An aimless young man who is scalping tickets, gambling and drinking, agrees to coach a Little League team from the Cabrini Green housing project in Chicago as a condition of getting a loan from a frie","Germany, United States of America"
Silver Linings Playbook,"Drama, Comedy, Romance","dancing, philadelphia, running, based on novel, depression, letter, friendship, neighbor, mental illness, ex-wife, institutionalization, bipolar, philadelphia eagles",English,"After spending eight months in a mental institution, a former teacher moves back in with his parents and tries to reconcile with his ex-wife.",United States of America
Freedom Writers,"Crime, Drama","black people, based on novel, holocaust, ghetto, diary, principal witness , biography, daughter, high school, racial segregation, anne frank, school excursion, idealism, violence in schools, racial tension, gang violence, based on true events","English, Español","A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.","Germany, United States of America"
For Colored Girls,Drama,"female nudity, poem, rape, love, domestic violence, womanhood",English,"About existence from the perspective of 20 nameless black females. Each of the women portray one of the characters represented in the collection of twenty poems, revealing different issues that impact",United States of America
The Transporter,"Action, Crime, Thriller","car journey, transportation, auto, human trafficking","English, Français, 普通话","Former Special Forces officer, Frank Martin will deliver anything to anyone for the right price, and his no-questions-asked policy puts him in high demand. But when he realizes his latest cargo is ali","United States of America, France"
Never Back Down,"Drama, Action","rebel, martial arts, underground, fight, training, champion, sport, high school, party, revenge, blood, nemesis, violence, club, brawl",English,"Rebellious Jake Tyler is lured into an ultimate underground fight Scene at his new high school, after receiving threats to the safety of his friends and family Jake decides to seek the mentoring of a ",United States of America
The Rage: Carrie 2,"Horror, Thriller, Science Fiction","suicide, male nudity, female nudity, fire, nudity, asylum, telekinesis, high school, swimming pool, party, sequel, murder, prom, teacher, decapitation, blood, splatter, weightlifting, teen suicide, woman director",English,"After the suicide of her only friend, Rachel has never felt more on the outside. The one person who reached out to her, Jessie, also happens to be part of the popular crowd that lives to torment outsi",United States of America
Away We Go,"Drama, Comedy, Romance","interracial relationship, dead father, reference to bob dylan, biracial, bedtime story, unmarried couple, medical illustrator, disguised voice, reference to huckleberry finn, student protest, sonogram, expectant grandmother, dead parents, testicles",English,"Verona and Burt have moved to Colorado to be close to Burt's parents but, with Veronica expecting their first child, Burt’s parents decide to move to Belgium, now leaving them in a place they hate and",United States of America
Swing Vote,"Drama, Comedy","usa president, presidential election, fox news",English,"In a remarkable turn of events, the result of the presidential election comes down to one man's vote.",United States of America
Moonlight Mile,"Romance, Drama",,"English, עִבְרִית","As he copes with the death of his fiancee along with her parents, a young man must figure out what he wants out of life.",United States of America
Tinker Tailor Soldier Spy,"Drama, Thriller, Mystery","spy, cold war, spying, espionage, mole, british spy","Français, English, Pусский, Magyar","Recently-retired MI6 agent, George Smiley is doing his best to adjust to a life outside the secret service until a disgraced agent reappears with information concerning a mole at the heart of the serv","France, Germany, United Kingdom"
Molly,"Drama, Comedy, Romance",,English,Molly McKay is a profoundly autistic twenty-something woman who has lived in an institution from a young age following her parents' death in a car accident. When the institution must close due budget ,United States of America
The Beaver,Drama,"puppet, woman director",English,"Suffering from a severe case of depression, toy company CEO Walter Black (Mel Gibson) begins using a beaver hand puppet to help him open up to his family. With his father seemingly going insane, adole","United Arab Emirates, United States of America"
The Best Little Whorehouse in Texas,Comedy,"brothel, corset, crusader, musical, governor, tv reporter, madame, busty, cat house, based on stage musical, based on adaptation, based on article, swearing",English,"The town sheriff and a madame team up to stop a television evangelist from shutting down the local whorehouse, the famed ""Chicken Ranch.""",United States of America
eXistenZ,"Action, Thriller, Science Fiction, Horror","video game, hacker, bodyguard, pop star, virtual reality, dystopia, virtual fight",English,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,"Canada, France, United Kingdom"
Raiders of the Lost Ark,"Adventure, Action","saving the world, riddle, nepal, himalaya, cairo, moses, egypt, whip, treasure, medallion, leather jacket, nazis, hat, mediterranean, ark of the covenant, ten commandments, treasure hunt, excavation, swastika, archaeologist, indiana jones, archeology ","English, Español, Deutsch, עִבְרִית, العربية, ","When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up agai",United States of America
Home Alone 2: Lost in New York,"Comedy, Family, Adventure, Crime","holiday, new york, new york city, christmas","English, Français","Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin r",United States of America
Close Encounters of the Third Kind,"Science Fiction, Drama","indiana, obsession, extraterrestrial technology, evacuation, blackout, flying saucer, secret base, light, contact, beguilement, exchange, ufo, alien, vision, missing person, mother ship, escapade, obsessive quest, life turned upside down","हिन्दी, English, Français, Español","After an encounter with UFOs, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.",United States of America
Pulse,"Horror, Thriller","suicide, hacker, death of a friend, website, remake","English, Polski","When their computer hacker friend accidentally channels a mysterious wireless signal, a group of co-eds rally to stop a terrifying evil from taking over the world.",United States of America
Beverly Hills Cop II,"Action, Comedy, Crime","smuggling of arms, detective, intensive care, undercover, strip club, armored car, investigation, police, swimming pool, sequel, shootout, gunfight, los angeles, explosion, violence, car chase, detroit, horse track, beverly hills, buddy cop, oil field, cement truck, playboy mansion, shooting range",English,"Detroit cop, Axel Foley heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of r",United States of America
Bringing Down the House,Comedy,"prison, ex-boyfriend, support, escape, lawyer","English, Français","Straight-laced lawyer, Peter Sanderson (Steve Martin) meets and falls in love with online chat friend ""Lawyer-Girl"", Charlene Morton (Queen Latifah), only to discover she's a convicted bank robber. Ch",United States of America
The Silence of the Lambs,"Crime, Drama, Thriller","based on novel, psychopath, horror, suspense, serial killer, psychological thriller, cannibal, fbi agent, animal in cast credits, cannibalism",English,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture ",United States of America
Wayne's World,"Music, Comedy","tv show, heavy metal, television producer, woman director","广州话 / 廣州話, English","When a sleazy TV exec offers Wayne and Garth a fat contract to tape their late-night public access show at his network, they can't believe their good fortune. But they soon discover the road from base",United States of America
Jackass 3D,"Comedy, Documentary, Action","pain, stunts, stuntman, stupidity, comedy, duringcreditsstinger, 3d","Română, English","Jackass 3D is a 3-D film and the third movie of the Jackass series. It follows the same premise as the first two movies, as well as the TV series. It is a compilation of various pranks, stunts and ski","United States of America, Romania"
Jaws 2,"Horror, Thriller","mayor, island, police chief, sailing, boat accident, dying and death, panic, current, aggression by animal, sequel, rescue, teenager, shark, great white shark, high-tension current, tourism",English,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,United States of America
Beverly Hills Chihuahua,"Adventure, Comedy, Family","dog dirt, chihuahua, pinata, potted plant, duringcreditsstinger",English,"A pampered Beverly Hills chihuahua named Chloe who, while on vacation in Mexico with her owner Viv's niece, Rachel, gets lost and must rely on her friends to help her get back home before she is caugh",United States of America
The Conjuring,"Horror, Thriller","sister sister relationship, exorcism, rhode island, based on true story, farmhouse, paranormal investigation, ghost, supernatural power, paranormal investigator, annabelle",English,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the ",United States of America
Are We There Yet?,"Adventure, Comedy, Family, Romance","car journey, macho, road trip, children, pretty woman, trouble",English,"The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver for t",United States of America
Tammy,Comedy,,English,"After losing her job and learning that her husband has been unfaithful, a woman hits the road with her profane, hard-drinking grandmother.",United States of America
School of Rock,"Comedy, Music","rock and roll, rock, high school, music band",English,"Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fourth-grade substitute teacher at a private school, where he secretly begins teaching his ","Germany, United States of America"
Mortal Kombat,"Action, Fantasy","martial arts, monster, island, gore, sorcerer, tournament, violence, based on video game, hand to hand combat",English,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiv",United States of America
White Chicks,Comedy,"undercover, fbi, fish out of water, high society, buddy cop, crossdressing",English,"Two FBI agent brothers, Marcus and Kevin Copeland, accidentally foil a drug bust. As punishment, they are forced to escort a pair of socialites to the Hamptons, where they're going to be used as bait ",United States of America
The Descendants,"Comedy, Drama","hawaii, father-in-law, daughter, cheating wife, beach house, boating accident, estate, dying mother, beautiful girl, teenage daughter, trustee, trust fund, wild girl, wild child, realtor",English,"With his wife Elizabeth on life support after a boating accident, Hawaiian land baron, Matt King takes his daughters on a trip from Oahu to Kauai to confront the young real estate broker, who was havi",United States of America
Holes,"Adventure, Family, Drama, Comedy","curse, suitor, false accusations, reference to annabel lee, digging, baseball player, mountain climbing",English,"Stanley's family is cursed with bad luck. Unfairly sentenced to months of detention at Camp Green Lake, he and his campmates are forced by the warden to dig holes in order to build character. What the",United States of America
The Last Song,"Drama, Family, Romance","brother sister relationship, new love, daughter, summer vacation, woman director",English,"A drama centered on a rebellious girl who is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.",United States of America
12 Years a Slave,"Drama, History","whip, kidnapping, slavery, plantation, night shift, violin player, physical abuse, cotton, slave owner, 19th century, sold into slavery, abolitionist",English,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not on","United States of America, United Kingdom"
Drumline,"Drama, Romance, Comedy, Music","music rehearsal, fraternity initiation, television broadcast, white male pretending to be black, sorority party, push ups",English,"A fish-out-of-water comedy about a talented street drummer from Harlem who enrolls in a Southern university, expecting to lead its marching band's drumline to victory. He initially flounders in his ne",United States of America
Why Did I Get Married Too?,"Comedy, Romance",,English,Four couples reunite for their annual vacation in order to socialize and to spend time analyzing their marriages. Their intimate week in the Bahamas is disrupted by the arrival of an ex-husband determ,United States of America
Edward Scissorhands,"Fantasy, Drama, Romance","underdog, love at first sight, hairdresser, small town, scissors, inventor, burglar, unsociability",English,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,United States of America
Me Before You,"Drama, Romance","england, based on novel, depression, small town, wheelchair, caretaker, caregiver, disabled, twenty something, woman director, romantic drama, dead end job, accident",English,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired f",United States of America
Madea's Witness Protection,"Drama, Comedy, Crime",,English,A Wall Street investment banker who has been set up as the linchpin of his company's mob-backed Ponzi scheme is relocated with his family to Aunt Madea's southern home.,United States of America
The French Connection,"Action, Crime, Thriller","police brutality, marseille, night life, attempted murder, drug dealer, drug mule, gangster boss, drug smuggle, undercover agent, hijacking of train, herion","English, Français",Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.,United States of America
Bad Moms,Comedy,"alcohol, bar, party, divorce, family, hit and run, bathroom humor","Pусский, English","When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",United States of America
Date Movie,Comedy,"date, diary, parents-in-law, bridegroom, wedding",English,"Spoof of romantic comedies which focuses on a man (Campbell), his crush (Hannigan), his parents (Coolidge, Willard), and her father (Griffin).","Switzerland, United States of America"
Return to Never Land,"Adventure, Fantasy, Animation, Family",animation,English,"The classic tale of 'Peter Pan' continues in Disney's sequel 'Return to Never Land'. In 1940 on a world besieged by World War II, Wendy, now grown up, has two children, one of them is her daughter, Ja","Australia, Canada, United States of America"
Selma,"History, Drama","alabama, martin luther king, president, black american, civil rights, protest march, woman director, selma",English,"""Selma,"" as in Alabama, the place where segregation in the South was at its worst, leading to a march that ended in violence, forcing a famous statement by President Lyndon B. Johnson that ultimately ","United Kingdom, United States of America"
The Jungle Book 2,"Family, Animation, Adventure","river, musical, tiger, village, feral child, sequel, bear, jungle, orphan, vulture, gong, lost, shake, mango",English,"Mowgli, missing the jungle and his old friends, runs away from the man village unaware of the danger he's in by going back to the wild.","Australia, United States of America"
Boogeyman,"Thriller, Horror, Drama, Mystery","nightmare, hallucination, childhood trauma, break-up, hometown, psychotherapy","English, Français, Polski","Every culture has one – the horrible monster fueling young children's nightmares. But for Tim, the Boogeyman still lives in his memories as a creature that devoured his father 16 years earlier. Is the",United States of America
Premonition,"Thriller, Drama, Mystery","deja vu, dying and death, time travel, loss of husband, car crash",English,"A depressed housewife who learns her husband was killed in a car accident the day previously, awakens the next morning to find him alive and well at home, and then awakens the day after to a world in ",United States of America
The Tigger Movie,"Animation, Family","owl, donkey, tiger, piglet, bear, rabbit, woman director",English,"As it happens, everybody - Pooh, Piglet, Eeyore, Roo, Rabbit, Owl - is busy preparing a suitable winter home for Eeyore. When everything they do seems to get undone by Tigger's exuberant bouncing, Rab",United States of America
Orphan,"Horror, Thriller, Mystery","nun, deaf-mute, orphan, all girl, troubled marriage, aftercreditsstinger, duringcreditsstinger","English, Eesti, Français","A married couple with a rocky past adopt 9-year old, Esther to fill the void created by a recently-stillborn baby. However, Esther is not quite who she seems.","Canada, France, Germany, United States of America"
Max,"Adventure, Drama, Family","afghanistan, war, based on true story, rescue, betrayal, dog, grieving",English,A dog that helped soldiers in Afghanistan returns to the U.S. and is adopted by his handler's family after suffering a traumatic experience.,United States of America
Epic Movie,"Action, Adventure, Comedy",,English,"When Edward, Peter, Lucy and Susan each follow their own path, they end up finding themselves at Willy's Chocolate factory. Walking through a wardrobe, they discover the world of Gnarnia, which is rul",United States of America
Spotlight,"Drama, Thriller, History","child abuse, journalism, judge, florida, boston, pedophilia, court, cover-up, priest, lawyer, catholic, catholic church, catholicism, september 11 2001, investigative journalism, cardinal, christmas",English,"The true story of how The Boston Globe uncovered the massive scandal of child abuse and the cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Canada, United States of America"
Lakeview Terrace,"Drama, Crime, Thriller","vandalism, harassment, neighbor, house party, shot to death, pregnancy, urination, interracial couple, lapd, air conditioner",English,"A young interracial couple has just moved into their California dream home when they become the target of their next-door neighbor, who disapproves of their relationship. A tightly wound LAPD officer ",United States of America
The Grudge 2,"Horror, Thriller","remake, little boy, curse","English, 日本語, Pусский","In Tokyo, a young woman is exposed to the same mysterious curse that afflicted her sister. The supernatural force, which fills a person with rage before spreading to its next victim, brings together a",United States of America
How Stella Got Her Groove Back,"Comedy, Drama, Romance","black people, age difference, jamaica, vacation, female protagonist",English,"Through good times and bad, Stella and Delilah have always had each other. Now, Stella's so busy building a life that she's forgotten how to really live. But Delilah is about to change all that. What ",United States of America
Bill & Ted's Bogus Journey,"Adventure, Comedy, Family, Fantasy, Science Fiction","future, dying and death, heaven, time travel, heavy metal, diabolical ego, afterlife, metal, robot, devil, doppelganger, seance",English,"Amiable slackers Bill and Ted are once again roped into a fantastical adventure when De Nomolos, a villain from the future, sends evil robot duplicates of the two lads to terminate and replace them. T",United States of America
Man of the Year,"Comedy, Drama, Romance, Thriller","usa president, presidential election, comedian",English,"The irreverent host of a political satire talk show decides to run for president and expose corruption in Washington. His stunt goes further than he expects when he actually wins the election, but a s",United States of America
The Black Hole,"Adventure, Family, Science Fiction, Action","killer robot, space marine, ghost ship, black hole",English,"The explorer craft U.S.S. Palomino is returning to Earth after a fruitless 18-month search for extra-terrestrial life when the crew comes upon a supposedly lost ship, the magnificent U.S.S. Cygnus, ho",United States of America
The American,"Crime, Drama, Thriller","prostitute, sweden, suspense, priest, very little dialogue","English, Italiano","Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him.","United Kingdom, United States of America"
Selena,Drama,"musical, tejano, elopement, bustier, fan club","Español, English","In this biographical drama, Selena Quintanilla is born into a musical Mexican-American family in Texas. Her father, Abraham, realizes that his young daughter is talented and begins performing with her",United States of America
Vampires Suck,"Horror, Comedy","vampire, high school, prom, spoof, horror spoof, teenager, duringcreditsstinger","English, Español","Becca, an anxious, non-vampire teen is torn between two boys. Before she can choose, Becca must get around her controlling father, who embarrasses Becca by treating her like a child. Meanwhile, Becca'",United States of America
Babel,Drama,"terror, loss of mother, gun, morocco, deaf-mute, san diego, ecstasy, illegal immigration, first time, nanny, daughter, bullet wound, ensemble cast","العربية, English, Español, Français, 日本語, Pусский","Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.","France, Japan, Mexico, United States of America"
This Is Where I Leave You,"Drama, Comedy","based on novel, funeral, dysfunctional family, death of father, man child, family, mourning, grieving",English,"When their father passes away, four grown, world-weary siblings return to their childhood home and are requested -- with an admonition -- to stay there together for a week, along with their free-speak",United States of America
Doubt,"Drama, Mystery","sexual abuse, boy, wine, gift, janitor, singing, pedophile, gossip, compassion, tolerance, 1960s",English,"In 1964, a Catholic school nun questions a priest's ambiguous relationship with a troubled young student, suspecting him of abuse. He denies the charges, and much of the film's quick-fire dialogue tac",United States of America
Team America: World Police,"Music, Adventure, Animation, Action, Comedy","paris, france, cairo, capitalism, loss of lover, egypt, war against terror, shotgun, patriotism, pentagon, american dream, destroy, shipwreck, louvre, american  way of life, failure, panama, damage, government, eiffel tower paris, world politics, mass destruction","العربية, English, Français, 한국어/조선말","Team America World Police follows an international police force dedicated to maintaining global stability. Learning that dictator Kim Jong il is out to destroy the world, the team recruits Broadway st","Germany, United States of America"
Texas Chainsaw 3D,"Horror, Thriller","sequel, gore, leatherface, slasher, chainsaw, aftercreditsstinger, duringcreditsstinger",English,"A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish,",United States of America
Copycat,"Drama, Thriller","police brutality, psychology, police operation, police protection, serial killer, psychologist, cowardliness","English, Deutsch",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,United States of America
Scary Movie 5,Comedy,"sequel, parody, spoof, aftercreditsstinger, duringcreditsstinger",English,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover thei",United States of America
Paint Your Wagon,"Drama, Action, Comedy, Western, Music","mining, prospector","English, Español","A Michigan farmer and a prospector form a partnership in the California gold country. Their adventures include buying and sharing a wife, hijacking a stage, kidnapping six prostitutes, and turning the",United States of America
Milk,"History, Drama","gay, san francisco, homophobia, mayor, biography, politics, politician, election campaign, homosexuality, morality, election, candlelight vigil, mayoral campaign",English,"The story of California's first openly gay elected official, Harvey Milk, who  became an outspoken agent for change, seeking equal rights and opportunities for all. His great love for the city and its",United States of America
Risen,Action,"christianity, jesus christ, apostle, crucifixion, jerusalem, ancient rome, faith, resurrection, dead body, judaism, religious, tomb",English,"Follows the epic Biblical story of the Resurrection, as told through the eyes of a non-believer. Clavius, a powerful Roman Military Tribune, and his aide Lucius, are tasked with solving the mystery of",United States of America
Ghost Ship,"Horror, Mystery, Thriller","cruise, pilot, ghost ship","English, Italiano, Español","After discovering a passenger ship missing since 1962 floating adrift on the Bering Sea, salvagers claim the vessel as their own. Once they begin towing the ghost ship towards harbor, a series of biza","Australia, United States of America"
A Very Harold & Kumar Christmas,Comedy,"holiday, indian lead, beer, christmas tree, cannabis, sequel, vulgarity, drug, asian, 3d, beer pong",English,"Six years have elapsed since Guantanamo Bay, leaving Harold and Kumar estranged from one another with very different families, friends and lives. But when Kumar arrives on Harold's doorstep during the",United States of America
Wild Things,"Crime, Drama, Mystery","upper class, poison, sailboat, rape, sexual abuse, florida, eroticism, blackmail, lolita, cheerleader, court case, planned murder, sailing, pretended murder, seduction, bisexuality, alligator, crocodile, everglades, heart-throb, white trash, menage a trois, intellectually gifted, harpoon, van, plan, court, single, millionaire, extramarital affair, duringcreditsstinger",English,"When teen-socialite Kelly Van Ryan (Richards) and troubled bad girl Suzie Toller (Campbell) accuse guidance counselor Sam Lombardo (Dillon) of rape, he's suspended by the school, rejected by the town,",United States of America
The Stepfather,"Horror, Thriller, Mystery","step father, remake",English,"Michael Harding (Penn Badgley) returns home from military school to find his mother (Sela Ward) happily in love and living with her new boyfriend, David (Dylan Walsh). As the two men get to know each ",United States of America
The Debt,"Drama, Thriller","beach, mossad, secret agent, insane asylum, lye, syringe, lost of friend","Pусский, English, Deutsch",Rachel Singer is a former Mossad agent who tried to capture a notorious Nazi war criminal – the Surgeon of Birkenau – in a secret Israeli mission that ended with his death on the streets of East Berli,United States of America
High Fidelity,"Comedy, Drama, Romance, Music","chicago, music record, rock and roll, record store, soul, disc jockey, pop, bruce frederick joseph springsteen, record collection","Dansk, English","When record store owner Rob Gordon gets dumped by his girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in an attempt to figure out what went w","United Kingdom, United States of America"
One Missed Call,"Horror, Mystery, Thriller","candy, loss of sister, mobile phone, answering machine, dying and death, victim, death of a friend, sms, asthma, friendship, police, delusion, remake, cowardliness, train",English,"Several people start receiving voice-mails from their future selves -- messages which include the date, time, and some of the details of their deaths.","Germany, Japan, United States of America"
Eye for an Eye,"Drama, Thriller","rape, gun, self-defense, grieving parents","English, Français, 한국어/조선말, Español","It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her ",United States of America
The Bank Job,"Thriller, Crime, Drama","infidelity, subway, car dealer, vault, mannequin, bahamas, strip club, wife, offer, photography, london underground, based on true story, extortion, double cross, walkie talkie, railway station, jackhammer, political corruption, bank heist, cabinet officer, corrupt policeman",English,Terry is a small-time car dealer trying to leave his shady past behind and start a family. Martine is a beautiful model from Terry's old neighbourhood who knows that Terry is no angel. When Martine pr,"Australia, United Kingdom, United States of America"
Eternal Sunshine of the Spotless Mind,"Science Fiction, Drama, Romance","deja vu, regret, jealousy, amnesia, dream, operation, relationship problems, love, memory, brainwashing, relationship, heartbreak, nonlinear timeline, love story, bittersweet",English,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still",United States of America
You Again,"Comedy, Romance","brother sister relationship, marriage, bully, duringcreditsstinger",English,"History -- make that high school -- may repeat itself when Marni learns that Joanna, the mean girl from her past, is set to be her sister-in-law. Before the wedding bells toll, Marni must show her bro",United States of America
Street Kings,"Action, Crime, Drama, Thriller","police, los angeles","English, Türkçe","Tom Ludlow is a disillusioned L.A. Police Officer, rarely playing by the rules and haunted by the death of his wife. When evidence implicates him in the execution of a fellow officer, he is forced to ",United States of America
The World's End,"Comedy, Action, Science Fiction","end of the world, apocalypse, trilogy, homage",English,Five friends who reunite in an attempt to top their epic pub crawl from 20 years earlier unwittingly become humankind's only hope for survival.,United Kingdom
Nancy Drew,"Action, Adventure, Crime, Family, Mystery, Thriller","california, detective, based on novel, dream, kidnapping, chase, party, murder, rescue, escape, hollywood, teenager, explosion, surveillance, flashback","Český, English",Intrepid teenage private eye Nancy Drew heads to Tinseltown with her father to investigate the unsolved murder of a movie star in this old-fashioned whodunit based on Carolyn Keene's popular series of,United States of America
