title,genres,keywords,original_language,production_countries,spoken_languages
Disaster Movie,"Action, Comedy","natural disaster, violence, mortal danger, duringcreditsstinger",en,United States of America,English
Armored,"Action, Crime, Drama, Thriller","robbery, homeless person, bank, armored car, truck, heist",en,United States of America,"English, German"
The Man Who Knew Too Little,"Comedy, Thriller, Crime, Action","london england, bomb, brother brother relationship, helicopter, based on novel, bank, tv show, theatre milieu, mistaken identity, escape, agent",en,United States of America,English
What's Your Number?,"Comedy, Romance","based on novel, loser, magazine, womanizer, mission, search, boyfriend, husband, fired, past relationship",en,United States of America,English
Lockout,"Action, Thriller, Science Fiction","usa president, anti hero, dementia, future, space, convict, interrogation, space station, collision in space, year 2079",en,France,English
Envy,Comedy,"jealousy, inventor, neighbor, best friend, milliionaire, dog, envy, golden egg",en,United States of America,English
Crank: High Voltage,"Action, Thriller, Crime","female nudity, prostitute, horse race, heart, strip club, electric shock, godzilla, sequel, tourette syndrome, gang, shootout, public sex, cigarette smoking, mansion, electrocution, foot chase, surgery, taser, duringcreditsstinger, flashback, absurdism, ultraviolence",en,United States of America,English
Bullets Over Broadway,"Action, Comedy, Thriller","lover (female), talent, mafia boss, author",en,United States of America,English
One Night with the King,Drama,"based on novel, persia, queen, esther",en,United States of America,English
The Quiet American,"Drama, Action, Thriller, Romance","terror, journalist, lover (female), saigon, indochina",en,United States of America,"English, French, Tieng Viet"
The Weather Man,"Comedy, Drama","new york, chicago, midlife crisis, television, daughter, father, weatherman, terminal illness, wettermann",en,"Germany, United States of America","Cesky, English"
Undisputed,"Action, Adventure, Drama, Thriller",sport,en,United States of America,English
Ghost Town,"Comedy, Fantasy, Romance","dying and death, misanthrope, lecture, cardiopulmonery resuscitation",en,United States of America,"English, Spanish"
12 Rounds,"Action, Adventure, Drama, Thriller","police, cops, cat and mouse, family, revenge drama",en,United States of America,"Cesky, English"
Let Me In,"Drama, Horror, Mystery","vampire, child vampire, remake, bully, young boy, biting, dead boy, hammer horror, 1980s",en,"United Kingdom, United States of America",English
3 Ninjas Kick Back,"Adventure, Action, Comedy, Family","underdog, hero, friendship, treasure hunt, friends, revenge, rivalry, good vs evil, youth, danger, escapade, young heroes, siblings relations, vigilantism, heroic mission, buddies, master villain, master warrior, contests and competitions",en,"Japan, United States of America","English, French"
Be Kind Rewind,"Drama, Comedy","camcorder, videoband, delusion, nuclear power plant, video store",en,"United States of America, United Kingdom",English
Mrs Henderson Presents,"Comedy, Drama","world war ii, widow, musical, theatre milieu, nacktrevue, variety",en,United Kingdom,English
Triple 9,"Action, Thriller","heist, betrayal, dirty cop",en,United States of America,English
Deconstructing Harry,"Comedy, Drama",,en,United States of America,English
Three to Tango,"Comedy, Romance","gay, dance, architect, artist, tango, business man, spying, partnership, chief executive officer, deception, business partner, affair",en,"Australia, United States of America",English
Burnt,Drama,"london england, cook, restaurant, diva, career, kitchen, redemption, drug, drug addict, chef, come back",en,United States of America,"French, English"
We're No Angels,"Comedy, Crime, Drama","prison, prisoner, independent film",en,United States of America,"English, Magyar, Italiano"
Everyone Says I Love You,"Music, Comedy, Romance","paris, venice, adultery, robbery, lovesickness, dancer, airport, broken engagement, infidelity, montmartre, winter, marriage proposal, new love, restaurant, gondola, halloween, racehorse, lover, musical, grandfather, thanksgiving, senility, tourist, jogging, atheist, dysfunctional family, independent film, family relationships, mistaken identity, wealth, redemption, unfaithfulness, hospital, lingerie slip, escaped convict, singing, maid, new york city, divorce, urban setting, christmas eve, cult film, waiter, wake, jewelry store, unwanted kiss, funeral home, central park, ghost, opposites attract, engagement ring, jumping rope, autumn, trick or treating, flashback, park avenue, parolee, x-ray, jeweler, fiancee",en,United States of America,English
Death Sentence,"Action, Crime, Drama, Thriller","loss of son, repayment, revenge, murder, gang, police officer killed, hospital, extreme violence, justice, hoodlum, semiautomatic pistol, finger gun",en,United States of America,English
Everybody's Fine,Drama,"family relationships, doctor, retired, visit, widower, duringcreditsstinger, heart trouble",en,United States of America,English
Superbabies: Baby Geniuses 2,"Comedy, Family","baby, baseball, scientific study, computer, genius, mind control, good vs evil, baby geniuses",en,"Germany, United Kingdom, United States of America",English
The Man,"Action, Comedy, Crime","mistake in person, false identity, arms dealer, cop, police officer, dentist",en,United States of America,English
Code Name: The Cleaner,"Action, Comedy, Crime",,en,United States of America,English
Connie and Carla,Comedy,"gay, drag queen, mistaken identity",en,United States of America,English
Sweet Charity,"Comedy, Drama, Music, Romance","broken engagement, charity, celebrity, tragic love, dancehall girl, based on stage musical, based on film",en,United States of America,English
Inherent Vice,"Comedy, Romance, Crime, Drama, Mystery","based on novel, 1970s, private investigator, smoking marijuana, los angeles, 1960s",en,United States of America,English
Doogal,Family,,en,"France, United Kingdom, United States of America",English
Battle of the Year,"Music, Drama","musical, 3d",en,United States of America,English
An American Carol,"Comedy, Fantasy","terrorist, parody, documentary filmmaker, sattire",en,United States of America,English
Machete Kills,"Action, Crime, Thriller","mexico, white house, nuclear missile, machete, outer space",en,United States of America,"English, Spanish"
Willard,Horror,"bad boss, evil mother, revenge, humiliation, obedience",en,United States of America,English
Strange Wilderness,Comedy,"tv show, bigfoot",en,United States of America,English
Topsy-Turvy,"Comedy, Drama, Music",,en,"United Kingdom, United States of America","English, French, German, Italiano"
Little Boy,"Comedy, Drama, War","japanese, world war ii, spirituality",en,"Mexico, United States of America",English
A Dangerous Method,"Drama, Thriller","based on novel, psychoanalysis, sigmund freud, biography, spanking, based on play, cigar smoking, cheating husband, based on true events",en,"Switzerland, United Kingdom, Germany, Canada",English
A Scanner Darkly,"Animation, Science Fiction, Thriller","california, detective, based on novel, dream, undercover, cocaine, brain, exam, future, test, dystopia, assignment, cyberpunk, drug, surveillance, totalitarian, corporation, substance, schizophrenic, condition, neo-noir",en,United States of America,English
Chasing Mavericks,Drama,"wave, surfing, sport, mentor protege relationship, santa cruz california",en,United States of America,English
Alone in the Dark,"Action, Fantasy, Horror, Thriller","detective, monster, professor, island, museum, darkness, alien life-form, paranormal, artifact, slow motion scene, flashback sequence, zombie, based on video game, occultism",en,"Canada, Germany, United States of America","English, Portugues"
Bandslam,"Comedy, Drama, Family, Music","new jersey, musical, battle of the bands, teenager, rock band",en,United States of America,English
Birth,"Drama, Mystery, Thriller","loss of husband, reincarnation, friends, little boy, independent film, wedding",en,"France, Germany, United States of America, United Kingdom",English
A Most Violent Year,"Crime, Drama, Thriller","corruption, capitalism, winter, american dream, immigrant, business ethics, truck, oil, lawyer, new york city, loan shark, coat, tunnel, 1980s, husband wife relationship, truck hijacking, bank loan",en,"United Arab Emirates, United States of America","Spanish, English"
Passchendaele,"Drama, Romance, War, History","nurse, battle, platoon, veteran, recruitment",en,Canada,"English, German"
Flash of Genius,Drama,biography,en,United States of America,English
I'm Not There.,"Drama, Music","rock and roll, music style, success, john f. kennedy, advancement, bob dylan, rock, biography, music, beatnik, motor-bike accident",en,United States of America,English
The Cold Light of Day,"Action, Thriller","kidnapping, spying, government",en,United States of America,"English, Spanish"
The Brothers Bloom,"Adventure, Comedy, Drama, Romance","con man, estafa",en,United States of America,"English, French, Cesky"
"Synecdoche, New York",Drama,"new york, man-woman relation, writer",en,United States of America,English
Princess Mononoke,"Adventure, Fantasy, Animation","fight, wolf, village and town, iron, pan, wild boar, territory, friendship, princess, good vs evil, anime",ja,Japan,
Bon voyage,"Comedy, Drama, Foreign",,fr,France,"Italiano, French, German, English"
Can't Stop the Music,"Comedy, Music","camp, disco, woman director, village people",en,United States of America,English
The Proposition,"Action, Adventure, Crime, Drama, Thriller, Western","gallows, australia, psychopath, outlaw, misanthrope, gang, shootout, sadist, brutality, violence, hideout, retribution, flogging, whipping, sunset, aborigine, savagery",en,"Australia, United Kingdom",English
My All American,Drama,"american football, biography, sport, championship",en,United States of America,English
Marci X,Comedy,,en,United States of America,English
Equilibrium,"Action, Science Fiction, Thriller","resistance, fascism, totalitarian regime, destroy, phasing, dystopia, book burning, outlaw, government agent",en,United States of America,English
The Children of Huang Shi,"Drama, War","based on true story, duringcreditsstinger",zh,"Australia, China, Germany",English
The Yards,"Drama, Action, Thriller, Crime","corruption, subway, infiltration, criminal",en,United States of America,"English, Spanish"
The Oogieloves in the Big Balloon Adventure,Family,,en,United States of America,English
By the Sea,"Drama, Romance","france, hotel, 1970s, grief, travel, unhappiness, marriage problems, woman director",en,"France, United States of America","English, French"
Steamboy,"Animation, Fantasy, Science Fiction","england, inventor, ball, boy, industrial revolution, kugel, steampunk, energy, 19th century, steam",ja,Japan,"English, Polski"
The Game of Their Lives,Drama,sport,en,United States of America,English
All Good Things,"Drama, Mystery, Thriller, Crime, Romance","difficult childhood, patriarch, childhood trauma, dysfunctional marriage",en,United States of America,English
Rapa Nui,Adventure,"in love with enemy, indigenous, island",en,United States of America,English
CJ7,"Comedy, Drama, Family, Fantasy, Science Fiction","little boy, ufo, extraterrestrial",cn,Hong Kong,","
The Visitors II: The Corridors of Time,"Comedy, Fantasy","mephisto, french revolution, time travel, leap in time, knight, wedding, middle ages",fr,France,French
Dylan Dog: Dead of Night,"Action, Comedy, Horror, Mystery, Science Fiction, Thriller","detective, vampire, supernatural, zombie, werewolf, ghouls",en,United States of America,"English, Turkce"
People I Know,"Drama, Thriller",,en,"Germany, United States of America",English
The Tempest,"Drama, Fantasy","shakespeare, sword, island, frog, sorcery, banishment, spirit, storm, staff, woman director, sorceress, loincloth",en,United States of America,English
Regression,"Horror, Mystery, Thriller","investigation, memory loss",en,"Canada, Spain",English
Three Kingdoms: Resurrection of the Dragon,"Action, History, Drama","warrior woman, number in title",en,"China, Hong Kong, South Korea",
Butterfly on a Wheel,"Crime, Drama, Thriller","chicago, infidelity, man-woman relation, revenge",en,"Canada, United Kingdom, United States of America",English
Zambezia,"Comedy, Animation, Adventure, Family","falcon, bird, origin",en,South Africa,English
Ramanujan,"Drama, History","mathematician, biography, prodigy, ramanujam, math genius",ta,India,
Dwegons,Animation,,en,United States of America,English
Hands of Stone,Drama,,en,"Panama, United States of America","English, Spanish"
Survivor,Thriller,,en,"United Kingdom, United States of America",English
The Frozen Ground,"Thriller, Crime","gun, escape, serial killer, man hunt, hunting",en,United States of America,English
The Painted Veil,"Drama, Romance","china, cholera, foreign aid, epidemic, loveless marriage",en,"Canada, China, United States of America","French, English"
The Baader Meinhof Complex,"Action, Crime, Drama, History, Thriller","terror, raf, 1970s",de,"Czech Republic, France, Germany","English, French, German, Swedish"
Dances with Wolves,"Adventure, Drama, Western","countryside, based on novel, suicide attempt, culture clash, loss of family, deserter, interpreter, language barrier, self-discovery, dakota, buffalo, chief, unsociability, freedom, native american, 19th century, lakota",en,"United Kingdom, United States of America",English
Bad Teacher,Comedy,"classroom, teacher, school, workplace humor",en,United States of America,English
Sea of Love,"Drama, Crime, Mystery","new york, alcohol, sex, detective, newspaper, nudity, suspect, police, murder, suspense, serial killer, neo-noir",en,United States of America,English
A Cinderella Story,Comedy,"jealousy, cinderella, work, step mother, high school, school party, orphan, teenager, disguise, american football player, teenage romance, step sister, modern fairy tale",en,"Canada, United States of America","Cesky, English, German"
Scream,"Crime, Horror, Mystery","halloween, gore, serial killer, slasher, tabloid, news reporter, self-referential, meta film",en,United States of America,English
Thir13en Ghosts,"Horror, Thriller","hunter, nanny, nudity, collector, house, supernatural, hell, uncle, revenge, lawyer, inheritance, blood, psychic, violence, devil, trapped, machine, evil, glass",en,"Canada, United States of America",English
The Shining,"Horror, Thriller","hotel, isolation, hotelier, colorado, maze, bartender, ax, delusion, loneliness, caretaker, vision, snow, writer, alcoholic, snowed in, off season",en,"United States of America, United Kingdom",English
Back to the Future,"Adventure, Comedy, Science Fiction, Family","clock tower, car race, terrorist, delorean, lightning, guitar, plutonium, sports car, inventor, journey in the past, time travel, race against time, partner, misfit, mad scientist, fish out of water, teenage love, destiny, hidden identity, odd couple, escapade, disorder, chases and races, love and romance, teenage life, misfit partners, changing the past or future, getting home, inventions and discoveries",en,United States of America,English
House on Haunted Hill,"Horror, Mystery, Thriller","lunatic asylum, aftercreditsstinger",en,United States of America,English
I Can Do Bad All By Myself,"Drama, Comedy","aunt, duringcreditsstinger",en,United States of America,English
Fight Valley,"Action, Drama","new jersey, martial arts, sister, sport, murder, mixed martial arts, justice, underground fighting, gym, ultimate fighting championship",en,United States of America,"Portugues, English"
The Switch,"Comedy, Romance, Drama","alcohol, single parent, baby, restaurant, aquarium, sperm, little boy, male female relationship, pregnant, artificial insemination",en,United States of America,English
Just Married,Comedy,"venice, france, prison, fire, europe, married couple, honeymoon, castle, just married, chewing gum, marriage, police, vacation",en,"Germany, United States of America","English, Italiano, German, French"
The Devil's Double,"Drama, Action, Thriller, Crime, War","palace, impostor, pervertion",en,"Netherlands, Belgium",English
Thomas and the Magic Railroad,"Animation, Drama, Family, Science Fiction",,en,"United Kingdom, United States of America","English, German"
The Crazies,"Mystery, Horror, Action","terror, biological weapon, cover-up, splatter, duringcreditsstinger, virus",en,United States of America,English
Spirited Away,"Fantasy, Adventure, Animation, Family","witch, parents kids relationship, magic, twilight, darkness, village and town, bath house, pig, ghost world, biology, train, amusement park, yokai, japanese mythology, anime",ja,Japan,
Firestorm,"Action, Crime","robbery, street war, gun battle, rogue cop",zh,"Hong Kong, China",","
The Bounty,"Action, Drama, History","female nudity, exotic island, mutiny, lake, nudity, sailing, ship, adventure, tahiti, murder, pregnancy, great barrier reef, sailor, native peoples, storm at sea, whipping, british sailor, based on true events, fiji",en,"United States of America, United Kingdom",English
The Book Thief,Drama,"world war ii, book, nazi germany, jewish",en,"Germany, United States of America","English, German"
Sex Drive,"Comedy, Adventure, Romance","sex, jealousy, virgin, nudity, community, friendship, high school, road trip, friends, romance, redneck, loss of virginity, hitchhiker, teen movie, boyfriend, pickup, knoxville",en,United States of America,English
Leap Year,"Romance, Comedy","taxi, bar, wales, marriage proposal, airplane, pub, cow, wedding ring, wedding, proposal, cardiologist, ireland, cliffs",en,"Ireland, United States of America",English
The Fall of the Roman Empire,"Drama, History","roman empire, ancient rome",en,United States of America,English
Take Me Home Tonight,"Comedy, Drama, Romance","becoming an adult, lie, night, sister, job, party, friends, deception, best friend",en,"United States of America, Germany",English
Won't Back Down,Drama,based on true story,en,United States of America,English
The Nutcracker,"Family, Fantasy, Music",ballet,en,United States of America,English
Kansas City,"Thriller, Drama, Music, Crime","politician, kansas city, election, jazz music",en,United States of America,English
Indignation,Drama,"based on novel, jewish life, ohio, 1950s",en,United States of America,English
The Amityville Horror,"Horror, Thriller, Drama","holy water, long island, remake, family dinner, paranormal, violence, wood chopping, backwards, tortured to death, moving in, based on supposedly true story",en,United States of America,English
Adaptation.,"Comedy, Crime, Drama",,en,United States of America,"English, Latin"
Land of the Dead,Horror,"cage, dystopia, survivor, zombie, zombie apocalypse",en,"Canada, France, United States of America","English, French, Italiano, Polski, Spanish"
Out of Inferno,Action,,cn,"Hong Kong, China",","
Fear and Loathing in Las Vegas,"Adventure, Drama, Comedy","gonzo journalist, sweaty face, fake identity, wedding chapel, grapefruit, cadillac convertible, gibberish, corvette stingray, police convention",en,United States of America,English
The Invention of Lying,"Comedy, Romance, Fantasy",,en,United States of America,"English, Portugues"
Neighbors,Comedy,"alcohol, baby, party, family, fraternity, fraternity house, neighbor neighbor relationship, bathroom humor",en,United States of America,English
The Mask,"Romance, Comedy, Crime, Fantasy","dual identity, bank, mockery, green, balloon, jail cell, norse mythology",en,United States of America,"Swedish, English"
Big,"Fantasy, Drama, Comedy, Romance, Family","baseball, co-worker, bronx, pinball machine, toy maker, duet, job promotion, homesick, new toy, quarter, unplugged electronic works, yankee stadium bronx new york city, walking on piano keys, wish fulfillment, bunk bed, woman director",en,United States of America,English
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,"male nudity, usa, california, prostitute, journalist, rodeo, kazakhstan, demeanor course, chicken, driving school, anti semitism, bear, mockumentary, reporter, aftercreditsstinger, duringcreditsstinger",en,United States of America,English
Legally Blonde,Comedy,"harvard law school, black female judge, smart blonde, girl power",en,United States of America,English
Star Trek III: The Search for Spock,"Science Fiction, Action, Adventure, Thriller",,en,United States of America,English
The Exorcism of Emily Rose,"Crime, Drama, Horror, Thriller","epilepsy, possession, teenage girl, spirit, umbrella, cross, prosecutor, catholicism, negligent homicide, archdiocese, agnostic, malnutrition, burning, psychotic epileptic disorder",en,United States of America,English
Deuce Bigalow: Male Gigolo,Comedy,"fish, aquarium, carnival, house, callboy, vacation, illegal prostitution",en,United States of America,English
Left Behind,"Thriller, Action, Science Fiction","airplane, the rapture, remake, pilot hero",en,United States of America,English
The Family Stone,"Comedy, Drama, Romance","holiday, christmas",en,United States of America,English
Barbershop 2:  Back in Business,"Comedy, Drama",blaxploitation,en,United States of America,English
Bad Santa,"Drama, Comedy, Crime","holiday, elves, christmas party, department store, safe, drink, little people, christmas eve, christmas",en,"Germany, United States of America",English
Austin Powers: International Man of Mystery,"Science Fiction, Comedy, Crime","android, undercover, missile, group therapy, airplane, dancing scene, time travel, penthouse apartment, judo, trapdoor, clowning, telescope, swinging, james bond spoof, swinging 60s, aftercreditsstinger, duringcreditsstinger",en,"Germany, United States of America",English
My Big Fat Greek Wedding 2,"Romance, Comedy, Family","comedy, wedding",en,"Canada, United States of America",English
Diary of a Wimpy Kid: Rodrick Rules,"Family, Comedy","based on novel, middle school",en,United States of America,English
Predator,"Science Fiction, Action, Adventure, Thriller","central and south america, predator, alien, stalking, invisible, commando, 3d",en,United States of America,"English, Spanish"
Amadeus,"Drama, History, Music","italy, composer, opera, talent, musician, marriage crisis, god, murder, vienna austria, envy, 18th century",en,United States of America,"English, German, Italiano, Latin"
Prom Night,"Crime, Horror","aunt, remake, blood on shirt, slasher, death of family, masturbation, kicked in the face, renovation, black stereotype, chest",en,United States of America,"Italiano, English"
Mean Girls,Comedy,"female friendship, high school, fish out of water, best friend, teenager, popularity, gossip, teen comedy, high school rivalry, new girl at school",en,United States of America,"Kiswahili, English, German, Tieng Viet"
Under the Tuscan Sun,"Comedy, Drama, Romance","depression, toscana, recreation, author, divorce, woman director",en,"Italy, United States of America","Cesky, English, French, German, Italiano, Polski, Spanish"
Gosford Park,"Drama, Mystery, Thriller","servant, money, shooting party",en,"Germany, United Kingdom, United States of America",English
Peggy Sue Got Married,"Comedy, Drama, Fantasy, Romance","time travel, high school reunion",en,United States of America,English
Birdman,"Drama, Comedy","times square, superhero, long take, new york city, play, broadway, actor",en,United States of America,English
Blue Jasmine,"Comedy, Drama","san francisco, sister sister relationship, new york city, rich, narcissism, xanax",en,United States of America,English
United 93,"Drama, History, Crime, Thriller, Action","airplane, hijacking, terror cell, emergency landing, war on terror",en,"France, United Kingdom, United States of America","English, German"
Honey,"Romance, Music, Family","new york, dancing, hip-hop, dream, dance, blackmail, harassment, career, video, teacher, business, sabotage, choreographer, club, harlem, youth center",en,United States of America,English
Spy Hard,"Action, Comedy","atomic bomb, spoof, james bond spoof",en,United States of America,English
The Fog,Horror,"prophecy, sea, beach, gold, small town, beheading, sword, narration, fog, leprosy, ship, lighthouse, church",en,United States of America,English
Soul Surfer,"Action, Drama","competition, based on novel, shark attack, surfing, biography, sport, duringcreditsstinger",en,United States of America,English
Catch-22,"War, Comedy, Drama","world war ii, island, bomber, pianosa, american",en,United States of America,"English, Italiano"
Observe and Report,"Comedy, Crime, Drama","robbery, unrequited love, security guard, mall",en,United States of America,English
Conan the Destroyer,"Adventure, Fantasy, Action","swordplay, sword, magic, warrior woman, lone wolf, wizardry, royalty, barbarian, sword and sorcery",en,United States of America,English
Raging Bull,Drama,"transporter, jealousy, violent husband, paranoia, boxer, biography, fistfight, broken nose, sport, domestic violence, extreme violence, over-the-hill fighter",en,United States of America,English
Love Happens,"Drama, Romance","hotel, florist, forest, grief, seminar, motivational speaker",en,"Canada, United Kingdom, United States of America",English
Young Sherlock Holmes,"Action, Adventure, Crime, Drama, Family, Mystery, Thriller","london england, school friend, religion and supernatural, sherlock holmes, murder, aftercreditsstinger",en,United States of America,English
Fame,"Music, Comedy, Drama, Romance","musical, duringcreditsstinger",en,United States of America,English
127 Hours,"Adventure, Drama, Thriller","mountains, despair, adventure, utah, alone, canyon, climbing, based on true story, rescue, survival, escape, true, trapped, boulder, adventurer, flashback, climber, isolated, hikers, very little dialogue",en,"United Kingdom, United States of America",English
Small Time Crooks,"Action, Comedy, Crime","bank, restaurant, role of women, bank robber, wife, pizzeria, pizza, keks, independent film, bank robbery, hoodlum",en,United States of America,English
Center Stage,"Drama, Music","new york, competition, dancer, dance, ball, career, ballet dancer, music, entrance examination, ballet, dance teacher",en,United States of America,English
Love the Coopers,"Comedy, Family","big family, family relationships, family, woman director, christmas",en,United States of America,English
Catch That Kid,"Family, Action, Adventure",bank robbery,en,United States of America,English
Life as a House,Drama,"father son relationship, house, cancer, drug, divorce, ex-wife, unemployment",en,United States of America,English
Steve Jobs,"Drama, History","biography, computer, father daughter relationship, apple computer, steve jobs, based on true events",en,United States of America,English
"I Love You, Beth Cooper","Comedy, Romance","virgin, cheerleader, graduation, high school, aspen, friends, in the closet, teenager, popularity, based on young adult novel, popular girl",en,"Canada, United States of America",English
Youth in Revolt,"Drama, Comedy, Romance","based on novel, coming of age, duringcreditsstinger",en,United States of America,"English, French"
The Legend of the Lone Ranger,"Action, Adventure, Romance, Western","lone ranger, wild bill hickok, buffalo bill, the lone ranger",en,United States of America,English
The Tailor of Panama,"Drama, Thriller","dancing, spy, birthday, map, fireworks, bridge, secret agent, president, children, independent film, debt, swimming, political, band",en,"Ireland, United States of America","English, Spanish"
Blow Out,"Drama, Mystery, Thriller","audio tape, hitman, presidential election, noises, yell, politics, faithlessness",en,United States of America,English
Getaway,"Action, Crime",,en,"Bulgaria, United States of America",English
The Ice Storm,Drama,"based on novel, 1970s, thanksgiving, dysfunctional family, independent film",en,"France, United States of America",English
And So It Goes,"Comedy, Drama, Romance","grandfather granddaughter relationship, neighbor, wealthy, elderly, estrangement",en,United States of America,English
Troop Beverly Hills,"Adventure, Comedy, Family","wilderness, teen angst",en,United States of America,English
Being Julia,"Comedy, Drama, Romance",,en,,English
Nine 1/2 Weeks,"Drama, Romance",,en,United States of America,English
Dragonslayer,Fantasy,,en,United Kingdom,"English, Magyar"
The Last Station,"Drama, Romance",duringcreditsstinger,en,"United Kingdom, Germany, Russia",English
Ed Wood,"Comedy, Drama, History","individual, taxi, transsexuality, fortune teller, film business, film making, film producer, vororte, film maker, boxer, film director, oddball, celebrity, morphine, movie studio, los angeles, drug addict, cult director, theremin, handgun, trick or treating, actor, transvestite",en,United States of America,English
Labor Day,Drama,"escaped convict, depressed mom",en,United States of America,English
Mongol: The Rise of Genghis Khan,History,"mongolia, genghis khan",ru,"Russia, Germany, Kazakhstan",
RockNRolla,"Action, Crime, Thriller","london england, gang leader, money, gang, crime",en,United Kingdom,English
Megaforce,"Adventure, Action, Science Fiction","dictator, soldier, electronic music score, military unit",en,"Hong Kong, United States of America",English
Hamlet,Drama,"mother, shakespeare, denmark, loss of father, prince, madness",en,"United Kingdom, United States of America",English
Mao's Last Dancer,"Drama, Romance","costume, song, village, promise, ballet",en,Australia,English
Midnight Special,"Adventure, Drama, Science Fiction","father son relationship, helicopter, fbi, motel, chase, child kidnapping, religious sect, goggles",en,United States of America,English
Anything Else,"Comedy, Romance","psychoanalysis, comedian, relationship problems, advice, experience",en,"United Kingdom, Netherlands, France",English
The Railway Man,"Drama, History","post traumatic stress disorder, japanese, world war ii, victim, autobiography, based on true story, history, revenge, redemption, torture",en,"Australia, United Kingdom",English
The White Ribbon,"Crime, Drama, Mystery","germany, child abuse, pastor, propaganda, children, punishment, small village, village people, east elbia, umerziehung",de,"Austria, France, Germany, Italy","German, Italiano, Latin, Polski"
Restoration,Horror,,en,,English
The Wraith,"Romance, Science Fiction, Horror, Action, Crime","male nudity, female nudity, sex, killing, sheriff, car race, cemetery, shotgun, arizona, nudity, reincarnation, police, auto-tuning, street race, revenge, murder, car crash, alien, independent film, gang, motorcycle, violence, car chase, cult film, ghost, road movie, drag racing, roller skates, strange person, budweiser, turbo intercepter",en,"United States of America, Canada",English
Salton Sea,"Drama, Mystery, Thriller","dual identity, identity, war on drugs, jazz musician, drug scene, neo-noir",en,United States of America,English
Metallica: Through the Never,Music,"heavy metal, live concert",en,United States of America,English
The Informers,Drama,"sex, slice of life, hollywood, drug, hedonism, ensemble cast, child murder, 1980s, dysfunctional, intersecting lives",en,"Germany, United States of America",English
Carlos,"Crime, Drama, Thriller, History","gun, car bomb, miniseries, terrorism, opec, hostage situation, revolutionary",en,"France, Germany","French, German, English, Spanish, Magyar"
I Come with the Rain,"Thriller, Drama",,en,"France, Hong Kong, Ireland, Spain, United Kingdom",English
One Man's Hero,"Western, Action, Drama, History","war, army, battlefield, chivalry",en,"United States of America, Mexico, Spain",English
Day of the Dead,"Horror, Science Fiction","florida, insanity, disembodied head, zombie, disembowelment, horror movie remade, living dead, zombie apocalypse",en,"United States of America, Japan",English
I Am Wrath,"Action, Crime, Drama, Thriller","revenge, murder, police corruption, violence, corrupt politician, barber, governer",en,United States of America,English
Renaissance,"Action, Animation, Science Fiction","paris, japanese, identity, underworld, monopoly, future, beauty, victim, dystopia, boss, police, president, animation, disappearance, cgi, black and white, theft, scientist, researcher, corporation",fr,"France, United Kingdom, Luxembourg","English, French"
Red Sonja,"Adventure, Fantasy, Action","monster, swordplay, queen, talisman, marvel comic, based on comic book, sword and sorcery",en,"Netherlands, United States of America",English
Red Lights,Thriller,"paranormal, psychic, skepticism",en,"Spain, United States of America",English
Superbad,Comedy,"becoming an adult, high school, young people, one night",en,United States of America,English
Madea Goes to Jail,"Comedy, Crime, Drama",criminal,en,United States of America,English
Wolves,"Horror, Action","adoption, werewolf",en,"Canada, France",English
Step Up 2: The Streets,"Music, Drama, Romance","underdog, competition, street gang, hip-hop, breakdance, insurgence, heart-throb, dancing scene, tap dancing, scholarship, ballet",en,United States of America,English
Hoodwinked!,"Animation, Comedy, Family","wolf, suspicion, little red riding hood, investigation, burglary",en,United States of America,English
Hotel Rwanda,"Drama, History, War","rwanda, refugee, refugee camp, militia, murder, slaughter, dead body, atrocity, african, cruelty, violence, united nations, genocide in rwanda, death",en,"Canada, United Kingdom, United States of America, Italy, South Africa","English, French"
Hitman,"Action, Crime, Drama, Thriller","assassin, secret identity, intelligence, soviet union, russia, celibacy, hitman, secret society, power, power takeover, adversary, government, execution, violence, killer, based on video game, secret formula",en,"France, United States of America","English, Srpski"
Black Nativity,"Drama, Music","musical, based on stage musical, woman director, based on the bible, nativity, christmas",en,United States of America,English
The Prince,"Thriller, Action","mobster, justice, retired, missing, missing daughter",en,United States of America,English
City of Ghosts,Thriller,,en,United States of America,English
The Others,"Horror, Drama, Mystery, Thriller","nanny, haunted house, channel islands, parallel world, photosensitivity, spiritism",en,"Spain, United States of America, France, Italy","French, English"
Aliens,"Horror, Action, Thriller, Science Fiction","android, extraterrestrial technology, space marine, spaceman, cryogenics, vacuum, space colony, warrior woman, settler, space travel, colony, alien, xenomorph",en,"United Kingdom, United States of America",English
My Fair Lady,"Drama, Family, Music, Romance","musical, transformation, flower girl, colonel, wager, suitor, class differences, tutor, aristocrat, linguist, street, high society, misogynist, guttersnipe, class prejudice, opposites attract",en,United States of America,English
I Know What You Did Last Summer,"Horror, Thriller, Mystery","secret, blackmail, fisherman, police, high school, cover-up, friends, revenge, murder, pageant, slasher, teenager, killer",en,United States of America,English
Let's Be Cops,Comedy,"corruption, robbery, kidnapping, nightclub, male friendship, investigation, police, party, murder, mobster, los angeles, lying, impersonating a police officer, flashback",en,United States of America,English
Sideways,"Comedy, Drama, Romance","california, golf, oscar award, wine, stag night, marijuana, writer",en,United States of America,English
Beerfest,Comedy,"germany, competition, prostitute, alcohol, beer, oktoberfest",en,United States of America,"English, German"
